Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.71263,1.71263,1.66123,1.66883,1.66883,377115
1970-01-05,1.66883,1.68334,1.66123,1.66123,1.66123,141011
1970-01-06,1.66123,1.66123,1.61774,1.62464,1.62464,144281
1970-01-07,1.61024,1.61024,1.56624,1.57393,1.57393,275460
1970-01-08,1.57393,1.61024,1.56624,1.58074,1.58074,444337
1970-01-09,1.58074,1.58074,1.55134,1.55134,1.55134,472210
1970-01-12,1.55134,1.56624,1.52234,1.53713,1.53713,565668
1970-01-13,1.54434,1.56624,1.54434,1.55904,1.55904,406627
1970-01-14,1.55904,1.57393,1.53713,1.57393,1.57393,350881
1970-01-15,1.57393,1.57393,1.55134,1.56624,1.56624,275460
1970-01-16,1.56624,1.58074,1.55134,1.55134,1.55134,296770
1970-01-19,1.55134,1.56624,1.53713,1.55134,1.55134,244302
1970-01-20,1.55134,1.56624,1.53713,1.55134,1.55134,382033
1970-01-21,1.55134,1.55904,1.52234,1.53713,1.53713,400067
1970-01-22,1.53713,1.55904,1.52955,1.53713,1.53713,295135
1970-01-23,1.53713,1.57393,1.52955,1.52955,1.52955,337760
1970-01-26,1.52955,1.52955,1.47114,1.48594,1.48594,270541
1970-01-27,1.47834,1.47834,1.45615,1.45615,1.45615,278736
1970-01-28,1.45615,1.48594,1.45615,1.47114,1.47114,377115
1970-01-29,1.47114,1.49294,1.45615,1.47114,1.47114,329563
1970-01-30,1.47114,1.49294,1.44904,1.46385,1.46385,747669
1970-02-02,1.47114,1.52234,1.47114,1.47114,1.47114,236106
1970-02-03,1.47114,1.52234,1.47114,1.50044,1.50044,1101829
1970-02-04,1.50044,1.50044,1.47114,1.47834,1.47834,473851
1970-02-05,1.47114,1.47114,1.44904,1.47114,1.47114,378749
1970-02-06,1.47114,1.48594,1.44904,1.46385,1.46385,268899
1970-02-09,1.46385,1.51494,1.45615,1.48594,1.48594,119694
1970-02-10,1.48594,1.51494,1.48594,1.50044,1.50044,324646
1970-02-11,1.50044,1.55134,1.49294,1.52234,1.52234,331200
1970-02-12,1.52234,1.52234,1.50044,1.50044,1.50044,247587
1970-02-13,1.50044,1.51494,1.49294,1.50044,1.50044,768987
1970-02-16,1.50044,1.52234,1.50044,1.50044,1.50044,214790
1970-02-17,1.50044,1.50754,1.49294,1.50044,1.50044,227912
1970-02-18,1.50044,1.52234,1.48594,1.51494,1.51494,1795391
1970-02-19,1.52234,1.58074,1.52234,1.57393,1.57393,1077234
1970-02-20,1.57393,1.61774,1.54434,1.58074,1.58074,398433
1970-02-24,1.58074,1.61774,1.57393,1.61024,1.61024,231187
1970-02-25,1.61024,1.63243,1.60235,1.61774,1.61774,309887
1970-02-26,1.61774,1.61774,1.58843,1.60235,1.60235,121333
1970-02-27,1.60235,1.61774,1.59543,1.60235,1.60235,136092
1970-03-02,1.60235,1.67574,1.60235,1.62464,1.62464,408268
1970-03-03,1.62464,1.65423,1.61024,1.61024,1.61024,627976
1970-03-04,1.61774,1.66123,1.61774,1.63894,1.63894,362353
1970-03-05,1.63894,1.66123,1.63894,1.65423,1.65423,296770
1970-03-06,1.65423,1.66883,1.64683,1.65423,1.65423,349238
1970-03-09,1.63894,1.63894,1.61774,1.63243,1.63243,178718
1970-03-10,1.63243,1.63243,1.61774,1.61774,1.61774,124611
1970-03-11,1.61774,1.63243,1.61774,1.61774,1.61774,152484
1970-03-12,1.61774,1.63243,1.61024,1.61774,1.61774,178718
1970-03-13,1.62464,1.63243,1.62464,1.63243,1.63243,508285
1970-03-16,1.63243,1.63243,1.61774,1.61774,1.61774,182001
1970-03-17,1.61774,1.64683,1.61024,1.64683,1.64683,1126426
1970-03-18,1.66883,1.72723,1.66883,1.69774,1.69774,1108393
1970-03-19,1.69774,1.72013,1.69074,1.71263,1.71263,191836
