Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.15116,1.15116,1.14503,1.15116,1.15116,1898333
1970-01-05,1.15116,1.17625,1.15116,1.17625,1.17625,3041474
1970-01-06,1.17625,1.17625,1.15747,1.17012,1.17012,1991447
1970-01-07,1.17012,1.17012,1.1639,1.1639,1.1639,1484532
1970-01-08,1.1639,1.17625,1.15747,1.1639,1.1639,1737983
1970-01-09,1.1639,1.17012,1.1639,1.17012,1.17012,1732813
1970-01-12,1.17012,1.17625,1.1639,1.1639,1.1639,1443144
1970-01-13,1.1639,1.17012,1.15747,1.15747,1.15747,2017301
1970-01-14,1.15747,1.15747,1.15116,1.15747,1.15747,2146616
1970-01-15,1.15747,1.15747,1.14503,1.14503,1.14503,1950065
1970-01-16,1.14503,1.15116,1.14503,1.15116,1.15116,1779361
1970-01-19,1.15116,1.15116,1.14503,1.15116,1.15116,1132794
1970-01-20,1.15116,1.15747,1.14503,1.14503,1.14503,2006959
1970-01-21,1.14503,1.15116,1.14503,1.14503,1.14503,1360388
1970-01-22,1.14503,1.14503,1.13899,1.13899,1.13899,2234549
1970-01-23,1.13899,1.13899,1.12003,1.12003,1.12003,3036301
1970-01-26,1.12003,1.12626,1.12003,1.12626,1.12626,1686260
1970-01-27,1.12003,1.12003,1.10788,1.12003,1.12003,3320789
1970-01-28,1.12003,1.12003,1.08278,1.08278,1.08278,2405247
1970-01-29,1.07024,1.07024,1.05799,1.05799,1.05799,2503526
1970-01-30,1.05799,1.05799,1.04554,1.05167,1.05167,3512178
1970-02-02,1.05167,1.05167,1.04554,1.04554,1.04554,4453589
1970-02-03,1.04554,1.07024,1.03931,1.06421,1.06421,4158748
1970-02-04,1.06421,1.06421,1.05799,1.06421,1.06421,3238033
1970-02-05,1.06421,1.06421,1.05799,1.05799,1.05799,2710429
1970-02-06,1.04554,1.04554,1.03309,1.03309,1.03309,2643183
1970-02-09,1.03309,1.03931,1.02676,1.02676,1.02676,2260416
1970-02-10,1.02676,1.02676,0.983401,0.98962,0.98962,4489796
1970-02-11,0.98962,0.995655,0.97698,0.995655,0.995655,3744946
1970-02-12,0.995655,0.995655,0.958406,0.970756,0.970756,4220820
1970-02-13,0.970756,0.97698,0.958406,0.970756,0.970756,3848392
1970-02-16,0.946054,0.946054,0.933606,0.939636,0.939636,5653626
1970-02-17,0.939636,0.939636,0.927188,0.933606,0.933606,4976014
1970-02-18,0.946054,0.98962,0.946054,0.983401,0.983401,7174362
1970-02-19,0.995655,1.01424,0.995655,0.995655,0.995655,5457062
1970-02-20,0.995655,1.02676,0.98962,1.02676,1.02676,7241616
1970-02-24,1.02676,1.05799,1.02054,1.02054,1.02054,6062259
1970-02-25,1.02054,1.03931,0.98962,1.03931,1.03931,7712309
1970-02-26,1.02676,1.02676,1.00216,1.00839,1.00839,5989841
1970-02-27,1.00839,1.02054,1.00839,1.00839,1.00839,6688141
1970-03-02,1.00839,1.02054,0.995655,0.995655,0.995655,8255433
1970-03-03,0.995655,1.00216,0.983401,0.98962,0.98962,8327848
1970-03-04,0.98962,1.00216,0.98962,0.995655,0.995655,7820933
